loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies
17825.0, 60 months,15.41,427.91,D1,7 years,MORTGAGE,54000.0,debt_consolidation,24.71,9.0,0.0,18003.0,42.5,25.0,5.0,0.0
26600.0, 60 months,20.99,719.47,E5,6 years,RENT,70000.0,debt_consolidation,12.05,6.0,0.0,12869.0,83.0,7.0,0.0,0.0
20000.0, 36 months,9.17,637.58,B2,1 year,MORTGAGE,85000.0,debt_consolidation,18.16,12.0,0.0,71659.0,97.0,30.0,6.0,0.0
15000.0, 60 months,10.64,323.45,B4,10+ years,OWN,100000.0,debt_consolidation,11.6,5.0,0.0,13104.0,94.3,8.0,0.0,0.0
24000.0, 60 months,9.17,500.19,B2,5 years,MORTGAGE,240000.0,credit_card,4.99,10.0,0.0,41553.0,68.3,25.0,3.0,0.0
10000.0, 60 months,18.99,259.36,E3,4 years,RENT,46000.0,other,28.25,7.0,0.0,11803.0,59.6,9.0,0.0,0.0
13500.0, 60 months,18.49,346.42,E2,4 years,RENT,27000.0,debt_consolidation,28.67,8.0,1.0,7345.0,57.4,10.0,0.0,0.0
11000.0, 36 months,10.64,358.26,B4,2 years,RENT,70000.0,debt_consolidation,35.28,19.0,0.0,399.0,5.0,32.0,0.0,0.0
24000.0, 60 months,12.59,541.05,C2,10+ years,RENT,92000.0,credit_card,13.87,10.0,0.0,21219.0,91.9,17.0,0.0,0.0
15300.0, 60 months,17.86,387.36,D5,10+ years,RENT,50000.0,debt_consolidation,25.95,8.0,0.0,10458.0,74.2,18.0,0.0,0.0
16000.0, 60 months,13.67,369.57,C4,< 1 year,RENT,36400.0,debt_consolidation,14.05,6.0,0.0,8399.0,75.0,9.0,0.0,0.0
24000.0, 60 months,10.64,517.52,B4,1 year,MORTGAGE,180000.0,debt_consolidation,11.44,29.0,0.0,26288.0,25.4,59.0,0.0,0.0
24025.0, 60 months,18.2,612.7,E1,10+ years,RENT,60000.0,credit_card,38.64,13.0,1.0,15913.0,58.9,17.0,0.0,0.0
19200.0, 60 months,15.41,460.91,D1,10+ years,MORTGAGE,101000.0,credit_card,16.68,7.0,0.0,6177.0,67.1,19.0,1.0,0.0
6000.0, 36 months,9.17,191.28,B2,10+ years,MORTGAGE,70000.0,credit_card,23.81,12.0,1.0,214302.0,92.0,25.0,3.0,1.0
21200.0, 60 months,13.67,489.67,C4,10+ years,RENT,70700.0,debt_consolidation,6.01,5.0,0.0,6407.0,68.9,27.0,0.0,0.0
20400.0, 60 months,18.2,520.25,E1,7 years,MORTGAGE,63600.0,small_business,38.26,10.0,3.0,10439.0,75.6,21.0,1.0,1.0
12450.0, 60 months,13.67,287.57,C4,7 years,MORTGAGE,45000.0,credit_card,23.44,12.0,0.0,8833.0,78.2,22.0,3.0,0.0
14900.0, 60 months,22.99,419.96,F2,3 years,RENT,85000.0,debt_consolidation,16.81,8.0,0.0,11252.0,90.0,16.0,4.0,0.0
28000.0, 60 months,9.17,583.55,B2,5 years,OWN,56000.0,credit_card,17.89,11.0,0.0,23213.0,49.0,38.0,5.0,0.0
6000.0, 36 months,11.22,197.06,B5,10+ years,RENT,45000.0,debt_consolidation,18.67,7.0,0.0,3402.0,32.1,9.0,0.0,0.0
28000.0, 60 months,13.67,646.74,C4,< 1 year,RENT,75000.0,debt_consolidation,25.39,12.0,1.0,3667.0,18.4,27.0,0.0,1.0
12000.0, 36 months,10.64,390.83,B4,,RENT,46000.0,credit_card,16.8,9.0,1.0,6697.0,62.0,19.0,1.0,1.0
30000.0, 60 months,17.86,759.52,D5,< 1 year,RENT,114000.0,debt_consolidation,12.42,8.0,0.0,29420.0,93.4,19.0,3.0,0.0
24000.0, 60 months,18.2,612.06,E1,10+ years,MORTGAGE,53000.0,debt_consolidation,37.68,15.0,0.0,38339.0,86.2,21.0,2.0,0.0
23000.0, 60 months,15.41,552.14,D1,1 year,OWN,50000.0,credit_card,7.69,8.0,0.0,12005.0,57.7,15.0,0.0,0.0
25750.0, 60 months,12.59,580.51,C2,8 years,MORTGAGE,70000.0,debt_consolidation,21.32,8.0,0.0,7051.0,34.4,17.0,2.0,0.0
17500.0, 60 months,18.2,446.3,E1,< 1 year,RENT,62000.0,debt_consolidation,36.6,9.0,0.0,5005.0,58.9,15.0,0.0,0.0
14000.0, 60 months,11.99,311.36,C1,9 years,MORTGAGE,42900.0,credit_card,23.02,14.0,0.0,14514.0,33.9,28.0,4.0,0.0
12000.0, 60 months,15.41,288.07,D1,8 years,MORTGAGE,42000.0,credit_card,26.87,8.0,0.0,10989.0,71.4,11.0,0.0,0.0
19200.0, 60 months,17.86,486.1,D5,3 years,MORTGAGE,49000.0,credit_card,8.57,8.0,0.0,12290.0,70.6,50.0,1.0,0.0
21500.0, 60 months,13.18,491.18,C3,2 years,RENT,92000.0,major_purchase,8.23,5.0,1.0,810.0,14.5,9.0,1.0,1.0
12125.0, 60 months,18.2,309.22,E1,6 years,RENT,60000.0,debt_consolidation,15.81,14.0,0.0,11422.0,58.0,26.0,0.0,0.0
24000.0, 60 months,13.67,554.35,C4,10+ years,MORTGAGE,84000.0,home_improvement,12.36,12.0,6.0,2942.0,36.8,31.0,1.0,1.0
18000.0, 60 months,13.67,415.76,C4,10+ years,OWN,89000.0,small_business,4.89,7.0,0.0,7228.0,23.5,31.0,1.0,0.0
30000.0, 60 months,11.22,655.57,B5,10+ years,MORTGAGE,140000.0,credit_card,28.93,22.0,2.0,26104.0,43.2,46.0,1.0,0.0
28000.0, 60 months,9.76,591.62,B3,10+ years,MORTGAGE,75000.0,credit_card,27.12,15.0,0.0,39682.0,39.3,27.0,2.0,0.0
35000.0, 60 months,17.86,886.11,D5,1 year,MORTGAGE,130000.0,debt_consolidation,21.67,20.0,0.0,17694.0,62.1,31.0,1.0,0.0
25000.0, 60 months,13.67,577.44,C4,10+ years,MORTGAGE,72000.0,debt_consolidation,31.38,14.0,0.0,46668.0,75.3,26.0,1.0,0.0
12000.0, 36 months,11.99,398.52,C1,2 years,RENT,50000.0,other,18.64,17.0,0.0,12637.0,41.6,22.0,0.0,0.0
6000.0, 36 months,13.18,202.69,C3,,OWN,25000.0,other,25.92,7.0,0.0,26289.0,66.1,15.0,0.0,0.0
2000.0, 36 months,15.41,69.74,D1,< 1 year,RENT,34000.0,debt_consolidation,24.18,5.0,0.0,17132.0,63.7,8.0,0.0,0.0
10000.0, 60 months,7.89,202.24,A5,8 years,RENT,50000.0,debt_consolidation,18.92,14.0,0.0,10668.0,12.6,32.0,0.0,0.0
21000.0, 60 months,12.59,473.42,C2,2 years,MORTGAGE,128000.0,credit_card,8.66,9.0,0.0,34762.0,77.8,23.0,0.0,0.0
14000.0, 60 months,17.57,352.25,D4,4 years,RENT,48000.0,car,8.88,9.0,0.0,3258.0,22.2,12.0,0.0,0.0
25000.0, 36 months,6.89,770.68,A3,< 1 year,RENT,150000.0,debt_consolidation,11.21,11.0,0.0,30005.0,73.2,19.0,0.0,0.0
15000.0, 60 months,14.48,352.77,C5,4 years,MORTGAGE,145000.0,credit_card,14.36,14.0,1.0,10692.0,68.5,20.0,2.0,1.0
10125.0, 60 months,17.86,256.34,D5,10+ years,RENT,50000.0,debt_consolidation,34.97,10.0,0.0,17756.0,32.2,16.0,3.0,0.0
20500.0, 60 months,15.41,492.12,D1,10+ years,RENT,70000.0,debt_consolidation,7.01,10.0,0.0,16212.0,38.4,18.0,1.0,0.0
26400.0, 60 months,18.99,684.69,E3,7 years,RENT,66000.0,medical,36.65,28.0,0.0,20234.0,33.3,43.0,0.0,0.0
21600.0, 60 months,13.67,498.91,C4,10+ years,MORTGAGE,130000.0,debt_consolidation,19.82,16.0,0.0,34528.0,63.0,31.0,10.0,0.0
15000.0, 60 months,15.41,360.09,D1,9 years,RENT,55000.0,medical,31.18,21.0,0.0,6633.0,65.7,34.0,0.0,0.0
18500.0, 60 months,13.67,427.31,C4,10+ years,MORTGAGE,50000.0,credit_card,20.16,13.0,0.0,17625.0,48.7,37.0,3.0,0.0
25000.0, 60 months,15.41,600.15,D1,1 year,MORTGAGE,175000.0,debt_consolidation,11.14,12.0,0.0,16878.0,61.8,25.0,4.0,0.0
35000.0, 60 months,18.99,907.73,E3,5 years,MORTGAGE,87000.0,debt_consolidation,13.63,17.0,0.0,35391.0,45.3,28.0,1.0,0.0
10000.0, 60 months,13.67,230.98,C4,8 years,RENT,41000.0,debt_consolidation,17.61,14.0,0.0,8913.0,39.6,29.0,1.0,0.0
15000.0, 60 months,16.55,369.17,D2,9 years,RENT,51000.0,other,39.79,22.0,1.0,17231.0,40.5,67.0,0.0,1.0
18000.0, 60 months,11.22,393.35,B5,10+ years,MORTGAGE,40000.0,credit_card,34.23,13.0,0.0,27135.0,46.6,23.0,2.0,0.0
10000.0, 60 months,10.64,215.64,B4,5 years,MORTGAGE,43000.0,debt_consolidation,11.95,6.0,0.0,3329.0,68.0,16.0,2.0,0.0
16000.0, 60 months,17.86,405.08,D5,< 1 year,RENT,65000.0,debt_consolidation,18.56,18.0,0.0,14944.0,49.2,31.0,3.0,0.0
5000.0, 36 months,8.38,157.56,B1,10+ years,OWN,75000.0,major_purchase,14.45,14.0,0.0,9465.0,27.0,29.0,3.0,0.0
21000.0, 60 months,9.76,443.72,B3,10+ years,MORTGAGE,60000.0,home_improvement,25.94,8.0,0.0,4509.0,21.3,22.0,2.0,0.0
15300.0, 60 months,13.18,349.54,C3,4 years,RENT,50000.0,debt_consolidation,12.79,6.0,0.0,2422.0,10.5,16.0,0.0,0.0
15000.0, 36 months,10.64,488.53,B4,5 years,RENT,60000.0,credit_card,28.11,19.0,0.0,24708.0,58.4,43.0,0.0,0.0
20000.0, 60 months,11.99,444.79,C1,10+ years,RENT,56000.0,debt_consolidation,30.99,15.0,0.0,5646.0,20.1,27.0,1.0,0.0
20000.0, 60 months,17.86,506.35,D5,10+ years,RENT,57000.0,debt_consolidation,35.62,18.0,0.0,15420.0,54.1,31.0,0.0,0.0
24000.0, 60 months,10.64,517.52,B4,10+ years,MORTGAGE,142000.0,home_improvement,34.49,38.0,0.0,45184.0,88.9,57.0,4.0,0.0
14525.0, 60 months,17.86,367.74,D5,10+ years,MORTGAGE,75000.0,debt_consolidation,32.45,14.0,0.0,24476.0,64.2,35.0,2.0,0.0
11200.0, 60 months,18.99,290.48,E3,6 years,MORTGAGE,35000.0,other,31.41,10.0,0.0,13101.0,74.0,24.0,2.0,0.0
18400.0, 60 months,16.55,452.85,D2,10+ years,RENT,40000.0,debt_consolidation,13.65,8.0,0.0,14985.0,60.2,11.0,0.0,0.0
31675.0, 60 months,16.55,779.57,D2,3 years,OWN,97200.0,debt_consolidation,12.98,8.0,0.0,2671.0,24.1,19.0,1.0,0.0
30500.0, 36 months,10.64,993.34,B4,1 year,MORTGAGE,140893.0,home_improvement,13.06,12.0,0.0,8695.0,46.2,29.0,5.0,0.0
12000.0, 60 months,11.99,266.88,C1,10+ years,RENT,120000.0,debt_consolidation,8.68,9.0,0.0,19731.0,96.2,17.0,0.0,0.0
23025.0, 60 months,18.49,590.84,E2,1 year,RENT,73000.0,debt_consolidation,28.08,32.0,0.0,29176.0,59.8,51.0,0.0,0.0
16000.0, 60 months,13.18,365.53,C3,3 years,RENT,65000.0,credit_card,12.55,28.0,0.0,16983.0,55.1,32.0,1.0,0.0
26000.0, 60 months,7.26,518.03,A4,10+ years,OWN,105000.0,credit_card,15.49,23.0,0.0,14909.0,15.9,86.0,0.0,0.0
35000.0, 60 months,15.41,840.2,D1,6 years,RENT,127000.0,debt_consolidation,33.73,23.0,0.0,17777.0,42.3,53.0,1.0,0.0
26000.0, 60 months,15.41,624.15,D1,9 years,RENT,155000.0,debt_consolidation,17.57,7.0,0.0,37574.0,93.9,16.0,0.0,0.0
35000.0, 36 months,10.64,1139.9,B4,< 1 year,MORTGAGE,122000.0,debt_consolidation,12.33,13.0,0.0,48280.0,68.5,23.0,2.0,0.0
18000.0, 60 months,12.59,405.79,C2,10+ years,MORTGAGE,91000.0,debt_consolidation,27.83,17.0,0.0,17515.0,34.4,43.0,2.0,0.0
21000.0, 60 months,9.76,443.72,B3,< 1 year,OWN,53000.0,debt_consolidation,13.9,18.0,0.0,23291.0,21.3,24.0,0.0,0.0
25600.0, 60 months,18.99,663.94,E3,6 years,MORTGAGE,125384.16,debt_consolidation,36.34,19.0,0.0,33797.0,99.1,58.0,1.0,0.0
15000.0, 36 months,9.17,478.19,B2,10+ years,MORTGAGE,74000.0,credit_card,13.49,11.0,0.0,31475.0,41.4,29.0,4.0,0.0
10000.0, 60 months,14.48,235.18,C5,10+ years,RENT,90000.0,debt_consolidation,11.99,11.0,1.0,10303.0,75.2,37.0,0.0,0.0
16000.0, 60 months,13.67,369.57,C4,3 years,OWN,112000.0,major_purchase,16.89,7.0,0.0,2163.0,13.4,22.0,0.0,0.0
31275.0, 60 months,18.99,811.12,E3,4 years,RENT,68000.0,debt_consolidation,14.72,9.0,0.0,21303.0,59.3,21.0,0.0,0.0
12000.0, 60 months,13.67,277.18,C4,6 years,RENT,105000.0,credit_card,20.9,17.0,0.0,33766.0,91.5,25.0,0.0,0.0
19000.0, 60 months,14.48,446.84,C5,8 years,RENT,65000.0,debt_consolidation,28.67,18.0,0.0,14899.0,48.2,23.0,0.0,0.0
24750.0, 60 months,13.18,565.43,C3,1 year,RENT,120000.0,debt_consolidation,24.19,12.0,0.0,21818.0,92.8,40.0,0.0,0.0
35000.0, 36 months,11.22,1149.51,B5,10+ years,RENT,110000.0,home_improvement,19.8,18.0,0.0,7526.0,34.2,40.0,0.0,0.0
33000.0, 60 months,13.18,753.9,C3,8 years,RENT,73000.0,debt_consolidation,10.78,8.0,0.0,27851.0,54.7,18.0,1.0,0.0
20000.0, 60 months,8.38,409.18,B1,10+ years,OWN,42000.0,debt_consolidation,28.54,6.0,0.0,26598.0,57.7,17.0,1.0,0.0
20000.0, 60 months,13.67,461.96,C4,1 year,RENT,110000.0,debt_consolidation,10.76,6.0,0.0,96.0,0.3,28.0,5.0,0.0
22000.0, 60 months,17.86,556.99,D5,10+ years,MORTGAGE,96000.0,debt_consolidation,25.23,13.0,0.0,14346.0,47.0,31.0,5.0,0.0
25125.0, 60 months,17.57,632.15,D4,10+ years,MORTGAGE,65000.0,debt_consolidation,32.75,8.0,0.0,27932.0,95.7,14.0,2.0,0.0
12000.0, 60 months,9.76,253.55,B3,3 years,RENT,46000.0,debt_consolidation,9.32,21.0,0.0,7777.0,6.0,28.0,0.0,0.0
10800.0, 60 months,16.55,265.81,D2,10+ years,RENT,37234.0,major_purchase,24.53,10.0,0.0,9721.0,54.6,14.0,0.0,0.0
35000.0, 36 months,11.22,1149.51,B5,4 years,MORTGAGE,92158.0,debt_consolidation,18.32,13.0,0.0,72363.0,40.0,32.0,7.0,0.0
10000.0, 36 months,17.57,359.38,D4,5 years,OWN,39000.0,credit_card,21.57,9.0,0.0,13617.0,73.2,12.0,0.0,0.0
12000.0, 60 months,13.18,274.15,C3,2 years,OWN,74560.0,debt_consolidation,11.1,18.0,0.0,18807.0,25.4,36.0,0.0,0.0
35000.0, 60 months,17.86,886.11,D5,< 1 year,MORTGAGE,125000.0,credit_card,31.93,15.0,0.0,35319.0,84.7,20.0,0.0,0.0
15000.0, 60 months,15.41,360.09,D1,4 years,OWN,120000.0,debt_consolidation,12.73,10.0,0.0,9772.0,64.7,26.0,1.0,0.0
20000.0, 60 months,18.2,510.05,E1,1 year,RENT,29000.0,debt_consolidation,23.59,8.0,0.0,7067.0,89.5,16.0,0.0,0.0
16000.0, 60 months,15.41,384.1,D1,4 years,RENT,55000.0,debt_consolidation,3.66,14.0,0.0,4766.0,37.2,22.0,0.0,0.0
15500.0, 60 months,13.18,354.11,C3,10+ years,MORTGAGE,55000.0,credit_card,32.88,13.0,0.0,14870.0,67.6,27.0,5.0,0.0
28800.0, 60 months,10.64,621.03,B4,1 year,MORTGAGE,80000.0,credit_card,20.43,20.0,0.0,16953.0,47.0,44.0,2.0,0.0
24000.0, 60 months,11.99,533.75,C1,9 years,MORTGAGE,120000.0,credit_card,12.16,14.0,0.0,23127.0,61.7,31.0,3.0,0.0
12000.0, 60 months,11.99,266.88,C1,6 years,MORTGAGE,58000.0,debt_consolidation,32.84,14.0,1.0,7104.0,32.6,35.0,1.0,1.0
10000.0, 60 months,16.99,248.48,D3,10+ years,MORTGAGE,40000.0,major_purchase,20.97,12.0,0.0,10180.0,42.1,29.0,0.0,0.0
28050.0, 36 months,17.86,1012.11,D5,5 years,RENT,73008.0,car,22.86,13.0,0.0,9653.0,53.6,27.0,0.0,0.0
14400.0, 60 months,11.99,320.25,C1,10+ years,MORTGAGE,53000.0,home_improvement,18.32,5.0,0.0,2975.0,38.6,11.0,0.0,0.0
35000.0, 60 months,18.2,892.59,E1,10+ years,MORTGAGE,280000.0,debt_consolidation,13.78,11.0,0.0,90981.0,82.9,21.0,4.0,0.0
16800.0, 60 months,14.48,395.1,C5,9 years,RENT,73185.0,credit_card,29.73,14.0,0.0,27825.0,92.4,17.0,0.0,0.0
23025.0, 60 months,16.55,566.68,D2,5 years,RENT,48000.0,credit_card,19.0,10.0,0.0,15388.0,33.0,15.0,0.0,0.0
16000.0, 60 months,18.2,408.04,E1,10+ years,RENT,47034.0,debt_consolidation,36.28,11.0,0.0,22529.0,95.1,25.0,0.0,0.0
31800.0, 60 months,15.41,763.39,D1,9 years,MORTGAGE,81000.0,debt_consolidation,29.58,11.0,0.0,49041.0,53.1,41.0,4.0,0.0
9000.0, 36 months,13.18,304.03,C3,2 years,RENT,36000.0,major_purchase,11.2,7.0,0.0,3263.0,74.2,41.0,0.0,0.0
25000.0, 60 months,13.67,577.44,C4,< 1 year,RENT,79000.0,credit_card,21.72,6.0,0.0,19759.0,93.2,19.0,3.0,0.0
