loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies
23650.0, 60 months,9.17,492.89,B2,7 years,MORTGAGE,160000.0,Fully Paid,debt_consolidation,8.01,6.0,0.0,13955.0,49.0,29.0,1.0,0.0
8000.0, 36 months,8.99,254.37,B1,10+ years,MORTGAGE,80000.0,Fully Paid,debt_consolidation,17.13,10.0,1.0,15154.0,41.5,30.0,3.0,1.0
15600.0, 60 months,20.2,415.05,D5,9 years,RENT,53000.0,Fully Paid,debt_consolidation,18.55,5.0,1.0,13875.0,86.7,16.0,0.0,1.0
15000.0, 36 months,13.33,507.8,C3,3 years,OWN,80000.0,Fully Paid,debt_consolidation,27.33,20.0,0.0,14880.0,54.0,26.0,0.0,0.0
11700.0, 36 months,16.59,414.76,D1,,RENT,30901.08,Fully Paid,credit_card,32.63,12.0,0.0,17859.0,58.6,22.0,0.0,0.0
16000.0, 36 months,11.99,531.36,B5,1 year,OWN,50000.0,Fully Paid,debt_consolidation,23.19,7.0,1.0,9480.0,78.0,12.0,0.0,1.0
12175.0, 36 months,18.92,445.8,D4,3 years,RENT,36000.0,Fully Paid,debt_consolidation,19.2,13.0,0.0,13880.0,78.9,20.0,0.0,0.0
13250.0, 36 months,19.24,487.31,E2,10+ years,MORTGAGE,48000.0,Fully Paid,home_improvement,27.6,8.0,0.0,22990.0,66.3,21.0,1.0,0.0
12000.0, 60 months,9.99,254.91,B3,3 years,RENT,45000.0,Fully Paid,credit_card,22.21,16.0,0.0,6364.0,65.6,22.0,0.0,0.0
5000.0, 36 months,13.35,169.32,C2,7 years,MORTGAGE,72000.0,Fully Paid,vacation,21.97,15.0,0.0,235.0,1.8,28.0,0.0,0.0
11875.0, 36 months,14.33,407.77,C1,1 year,MORTGAGE,66437.0,Fully Paid,debt_consolidation,11.48,4.0,0.0,15484.0,89.5,20.0,6.0,0.0
16800.0, 36 months,8.18,527.85,B1,10+ years,MORTGAGE,115000.0,Fully Paid,other,15.12,12.0,1.0,23409.0,46.7,34.0,9.0,0.0
6000.0, 36 months,12.62,201.07,C1,10+ years,RENT,60000.0,Fully Paid,debt_consolidation,6.94,10.0,0.0,2486.0,17.8,33.0,2.0,0.0
5000.0, 60 months,20.99,135.24,E4,6 years,RENT,40000.0,Fully Paid,other,30.24,8.0,0.0,15529.0,86.8,19.0,0.0,0.0
17500.0, 60 months,16.78,432.86,C5,10+ years,MORTGAGE,50000.0,Fully Paid,credit_card,20.16,17.0,1.0,18184.0,68.6,54.0,4.0,1.0
5500.0, 36 months,14.33,188.86,C1,,MORTGAGE,40000.0,Fully Paid,debt_consolidation,12.63,6.0,1.0,10897.0,74.6,31.0,0.0,1.0
9200.0, 36 months,12.99,309.95,C1,10+ years,RENT,50000.0,Fully Paid,debt_consolidation,11.28,6.0,1.0,1559.0,33.9,37.0,4.0,1.0
10000.0, 36 months,10.75,326.21,B4,,OWN,28000.0,Fully Paid,debt_consolidation,26.83,9.0,1.0,2929.0,19.1,35.0,3.0,1.0
5200.0, 36 months,5.32,156.6,A1,5 years,RENT,39000.0,Fully Paid,credit_card,14.86,14.0,0.0,3930.0,21.7,20.0,0.0,0.0
35000.0, 36 months,16.99,1247.68,D3,10+ years,MORTGAGE,120000.0,Fully Paid,debt_consolidation,26.99,9.0,1.0,1768.0,18.8,33.0,8.0,1.0
24000.0, 36 months,7.26,743.91,A4,9 years,RENT,120000.0,Fully Paid,debt_consolidation,8.1,5.0,0.0,31923.0,90.0,7.0,0.0,0.0
35000.0, 36 months,10.16,1131.99,B1,2 years,MORTGAGE,130000.0,Fully Paid,home_improvement,10.31,12.0,0.0,12170.0,30.3,23.0,0.0,0.0
4800.0, 36 months,16.99,171.11,D1,5 years,MORTGAGE,52000.0,Fully Paid,other,19.57,11.0,1.0,12862.0,58.5,44.0,2.0,1.0
35000.0, 60 months,13.99,814.21,C3,10+ years,MORTGAGE,120000.0,Fully Paid,debt_consolidation,18.96,16.0,1.0,22708.0,71.2,30.0,1.0,1.0
8400.0, 36 months,12.99,282.99,C1,,RENT,49000.0,Fully Paid,debt_consolidation,32.77,10.0,0.0,4942.0,49.4,26.0,0.0,0.0
10000.0, 36 months,10.99,327.34,B2,10+ years,MORTGAGE,75000.0,Fully Paid,debt_consolidation,28.61,15.0,0.0,2695.0,34.1,45.0,4.0,0.0
12000.0, 36 months,13.58,407.69,C2,2 years,OWN,113000.0,Fully Paid,debt_consolidation,27.18,23.0,0.0,32094.0,49.8,39.0,2.0,0.0
10000.0, 36 months,12.99,336.9,B5,10+ years,RENT,60000.0,Fully Paid,debt_consolidation,30.9,14.0,1.0,5201.0,26.0,30.0,2.0,1.0
10000.0, 36 months,10.64,325.69,B2,,OWN,50000.0,Fully Paid,credit_card,21.17,14.0,0.0,17954.0,47.0,28.0,0.0,0.0
4200.0, 36 months,8.67,132.92,B1,7 years,MORTGAGE,91000.0,Fully Paid,home_improvement,33.17,21.0,0.0,24946.0,56.7,36.0,0.0,0.0
9800.0, 36 months,10.64,319.18,B4,10+ years,MORTGAGE,58000.0,Fully Paid,debt_consolidation,3.64,1.0,0.0,0.0,0.0,15.0,1.0,0.0
15000.0, 36 months,6.24,457.97,A2,10+ years,RENT,155640.0,Fully Paid,credit_card,10.3,13.0,0.0,33107.0,42.4,32.0,2.0,0.0
25000.0, 36 months,7.35,775.94,A4,1 year,MORTGAGE,47000.0,Fully Paid,debt_consolidation,16.21,15.0,0.0,31055.0,35.3,22.0,2.0,0.0
21000.0, 36 months,7.49,653.14,A4,10+ years,MORTGAGE,110000.0,Fully Paid,debt_consolidation,30.08,10.0,0.0,59502.0,66.2,28.0,4.0,0.0
10000.0, 36 months,11.39,329.24,B3,10+ years,MORTGAGE,83000.0,Fully Paid,credit_card,29.06,16.0,0.0,15318.0,50.0,44.0,3.0,0.0
8875.0, 36 months,17.27,317.62,C5,< 1 year,RENT,30000.0,Fully Paid,debt_consolidation,32.96,18.0,0.0,11371.0,47.0,22.0,0.0,0.0
6000.0, 36 months,15.02,208.06,C3,,OWN,30000.0,Fully Paid,debt_consolidation,25.6,20.0,0.0,20682.0,52.4,25.0,0.0,0.0
9725.0, 36 months,16.49,344.26,D3,,MORTGAGE,22296.0,Fully Paid,home_improvement,11.57,6.0,0.0,6538.0,35.2,11.0,1.0,0.0
4000.0, 36 months,13.33,135.42,C3,< 1 year,RENT,45000.0,Fully Paid,moving,14.99,10.0,0.0,10028.0,77.1,15.0,0.0,0.0
16000.0, 36 months,9.17,510.07,B2,10+ years,MORTGAGE,118000.0,Fully Paid,credit_card,22.27,14.0,0.0,31768.0,58.0,26.0,1.0,0.0
15000.0, 36 months,12.13,499.15,B5,,OWN,40000.0,Fully Paid,house,2.01,3.0,0.0,1467.0,26.7,11.0,2.0,0.0
8400.0, 36 months,11.86,278.44,B5,2 years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,23.46,13.0,0.0,16675.0,84.2,23.0,,0.0
18000.0, 36 months,6.24,549.56,A2,2 years,RENT,59000.0,Fully Paid,credit_card,31.29,14.0,0.0,17621.0,54.9,18.0,0.0,0.0
1500.0, 36 months,9.49,48.05,B2,8 years,MORTGAGE,225000.0,Fully Paid,home_improvement,19.83,24.0,3.0,49762.0,89.2,48.0,3.0,0.0
20000.0, 36 months,6.89,616.54,A3,7 years,RENT,101000.0,Fully Paid,debt_consolidation,16.38,13.0,0.0,16892.0,58.9,21.0,0.0,0.0
20000.0, 60 months,17.97,507.55,D1,10+ years,MORTGAGE,95000.0,Fully Paid,debt_consolidation,13.24,22.0,0.0,15383.0,27.4,30.0,1.0,0.0
25000.0, 36 months,13.49,848.27,C2,10+ years,OWN,68000.0,Fully Paid,debt_consolidation,33.55,14.0,0.0,31193.0,51.8,21.0,3.0,0.0
7000.0, 36 months,11.67,231.4,B4,7 years,RENT,45000.0,Fully Paid,debt_consolidation,12.48,9.0,1.0,4654.0,29.0,36.0,1.0,1.0
1600.0, 36 months,11.53,52.79,B5,10+ years,OWN,93000.0,Fully Paid,other,6.02,5.0,0.0,4988.0,46.2,19.0,1.0,0.0
20000.0, 36 months,10.49,649.96,B3,5 years,OWN,92000.0,Fully Paid,debt_consolidation,11.14,7.0,0.0,70532.0,73.0,23.0,3.0,0.0
4375.0, 36 months,19.52,161.53,D4,5 years,RENT,21000.0,Fully Paid,debt_consolidation,28.23,5.0,0.0,4085.0,74.3,21.0,0.0,0.0
10375.0, 36 months,15.1,360.17,C2,8 years,OWN,30000.0,Fully Paid,debt_consolidation,18.4,7.0,0.0,10917.0,53.5,13.0,0.0,0.0
19075.0, 36 months,15.31,664.15,C3,10+ years,MORTGAGE,81768.0,Fully Paid,debt_consolidation,22.71,16.0,0.0,21084.0,47.5,31.0,,0.0
1000.0, 36 months,16.49,35.4,D3,4 years,MORTGAGE,39000.0,Fully Paid,small_business,28.0,8.0,0.0,9976.0,64.4,18.0,0.0,0.0
8400.0, 36 months,10.75,274.02,B4,2 years,MORTGAGE,42000.0,Fully Paid,debt_consolidation,14.17,9.0,0.0,9194.0,50.0,23.0,1.0,0.0
12000.0, 36 months,5.32,361.38,A1,10+ years,MORTGAGE,165000.0,Fully Paid,debt_consolidation,6.76,9.0,1.0,7261.0,21.2,36.0,2.0,1.0
20975.0, 60 months,23.43,596.49,F1,3 years,MORTGAGE,50000.0,Fully Paid,credit_card,21.75,11.0,0.0,16236.0,74.5,14.0,0.0,0.0
6500.0, 36 months,8.19,204.26,A5,3 years,RENT,52000.0,Fully Paid,debt_consolidation,16.07,8.0,0.0,13198.0,49.6,15.0,0.0,0.0
12000.0, 60 months,13.99,279.16,C3,9 years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,4.08,12.0,0.0,7489.0,11.8,33.0,6.0,0.0
8875.0, 36 months,9.71,285.17,B1,2 years,RENT,45580.0,Fully Paid,major_purchase,7.08,8.0,0.0,573.0,5.1,12.0,0.0,0.0
16000.0, 60 months,11.99,355.84,B5,5 years,RENT,56000.0,Fully Paid,debt_consolidation,17.27,7.0,0.0,26238.0,72.8,25.0,,0.0
5000.0, 36 months,13.99,170.87,C3,10+ years,RENT,55000.0,Fully Paid,car,1.75,5.0,2.0,910.0,10.3,17.0,1.0,2.0
15000.0, 36 months,13.49,508.96,C2,10+ years,MORTGAGE,35000.0,Fully Paid,debt_consolidation,18.45,6.0,0.0,7274.0,55.1,26.0,1.0,0.0
10000.0, 60 months,24.99,293.46,F3,3 years,MORTGAGE,48000.0,Fully Paid,other,18.98,10.0,0.0,2963.0,13.7,15.0,1.0,0.0
12000.0, 60 months,12.99,272.98,C2,2 years,MORTGAGE,58000.0,Fully Paid,debt_consolidation,17.34,21.0,0.0,7609.0,20.6,41.0,2.0,0.0
14000.0, 36 months,6.99,432.22,A3,6 years,MORTGAGE,100200.0,Fully Paid,credit_card,19.34,11.0,0.0,26355.0,69.0,23.0,9.0,0.0
18000.0, 36 months,13.11,607.45,B4,10+ years,MORTGAGE,107000.0,Fully Paid,debt_consolidation,18.71,10.0,0.0,15035.0,70.9,25.0,4.0,0.0
9000.0, 36 months,10.91,294.27,B4,,RENT,10500.0,Fully Paid,other,75.54,4.0,0.0,4980.0,56.6,8.0,0.0,0.0
12000.0, 36 months,6.24,366.37,A2,1 year,RENT,36000.0,Fully Paid,debt_consolidation,17.9,16.0,1.0,15898.0,25.9,19.0,0.0,1.0
21000.0, 36 months,9.49,672.6,B2,10+ years,MORTGAGE,76500.0,Fully Paid,debt_consolidation,18.32,12.0,0.0,45303.0,73.0,31.0,5.0,0.0
25000.0, 60 months,19.99,662.21,D4,8 years,RENT,90000.0,Fully Paid,debt_consolidation,13.24,22.0,0.0,25639.0,33.7,34.0,0.0,0.0
10000.0, 36 months,13.59,339.79,C2,< 1 year,RENT,57600.0,Fully Paid,debt_consolidation,17.27,10.0,1.0,9843.0,29.9,12.0,0.0,1.0
15525.0, 60 months,17.86,393.06,D5,7 years,MORTGAGE,47749.0,Fully Paid,debt_consolidation,32.57,7.0,0.0,12390.0,30.9,25.0,0.0,0.0
12000.0, 36 months,5.32,361.38,A1,4 years,MORTGAGE,50000.0,Fully Paid,credit_card,12.12,10.0,0.0,17561.0,41.6,25.0,1.0,0.0
9800.0, 36 months,10.91,320.43,B4,7 years,MORTGAGE,62000.0,Fully Paid,credit_card,22.07,28.0,0.0,8276.0,30.5,41.0,1.0,0.0
18000.0, 36 months,7.89,563.15,A5,< 1 year,RENT,52000.0,Fully Paid,debt_consolidation,8.85,5.0,0.0,15752.0,29.3,8.0,0.0,0.0
24000.0, 36 months,11.53,791.77,B5,1 year,RENT,65000.0,Fully Paid,credit_card,26.37,7.0,0.0,14862.0,79.1,14.0,0.0,0.0
10000.0, 36 months,9.17,318.79,B2,10+ years,MORTGAGE,110000.0,Fully Paid,credit_card,12.21,13.0,3.0,4645.0,74.9,30.0,4.0,1.0
3500.0, 36 months,16.99,124.77,D3,2 years,MORTGAGE,75000.0,Fully Paid,other,19.2,7.0,0.0,6584.0,82.3,24.0,6.0,0.0
20000.0, 36 months,18.06,723.66,D2,5 years,MORTGAGE,98000.0,Fully Paid,debt_consolidation,22.18,13.0,0.0,10706.0,57.9,25.0,0.0,0.0
8000.0, 36 months,14.49,275.33,C4,3 years,RENT,53000.0,Fully Paid,other,23.46,11.0,0.0,3333.0,29.8,25.0,0.0,0.0
15000.0, 36 months,15.05,520.35,C4,10+ years,RENT,105000.0,Fully Paid,debt_consolidation,19.89,10.0,1.0,24255.0,78.8,21.0,1.0,1.0
35000.0, 36 months,13.06,1180.31,C1,1 year,RENT,35797.0,Fully Paid,major_purchase,1.84,4.0,0.0,344.0,3.8,9.0,0.0,0.0
26950.0, 36 months,17.57,968.51,D4,4 years,OWN,85000.0,Fully Paid,other,30.72,20.0,0.0,26250.0,50.2,28.0,1.0,0.0
11200.0, 36 months,13.99,382.74,C4,10+ years,RENT,70400.0,Fully Paid,debt_consolidation,18.04,9.0,0.0,34874.0,87.2,21.0,2.0,0.0
8000.0, 36 months,16.55,283.44,D2,1 year,MORTGAGE,86000.0,Fully Paid,debt_consolidation,16.9,16.0,0.0,7625.0,82.0,31.0,3.0,0.0
17000.0, 36 months,12.49,568.64,B5,10+ years,MORTGAGE,135000.0,Fully Paid,home_improvement,8.42,8.0,0.0,15588.0,89.6,19.0,6.0,0.0
40000.0, 60 months,16.14,975.71,C4,< 1 year,MORTGAGE,45000.0,Fully Paid,credit_card,50.53,18.0,0.0,34971.0,64.5,37.0,1.0,0.0
11450.0, 60 months,21.6,313.64,E3,10+ years,OWN,50000.0,Fully Paid,debt_consolidation,17.77,10.0,1.0,4194.0,25.4,52.0,0.0,1.0
19000.0, 36 months,8.18,596.97,B1,7 years,MORTGAGE,115000.0,Fully Paid,credit_card,16.57,11.0,0.0,35583.0,71.6,35.0,9.0,0.0
10000.0, 36 months,7.59,311.48,A3,4 years,MORTGAGE,93000.0,Fully Paid,debt_consolidation,6.86,4.0,0.0,8297.0,39.5,15.0,3.0,0.0
20000.0, 60 months,9.93,424.26,B2,10+ years,MORTGAGE,72000.0,Fully Paid,home_improvement,11.0,13.0,1.0,9628.0,20.7,27.0,3.0,1.0
4800.0, 36 months,13.67,163.29,B5,6 years,MORTGAGE,31650.0,Fully Paid,credit_card,17.36,10.0,0.0,7996.0,57.9,15.0,1.0,0.0
7000.0, 36 months,6.24,213.72,A2,3 years,MORTGAGE,35000.0,Fully Paid,credit_card,12.31,6.0,0.0,8449.0,82.0,11.0,1.0,0.0
1025.0, 36 months,12.62,34.35,C1,10+ years,MORTGAGE,72000.0,Fully Paid,vacation,21.61,6.0,0.0,14024.0,61.8,22.0,2.0,0.0
6500.0, 36 months,13.33,220.05,C3,8 years,MORTGAGE,53989.0,Fully Paid,debt_consolidation,23.38,7.0,0.0,7461.0,82.9,24.0,0.0,0.0
35000.0, 36 months,9.17,1115.77,B2,6 years,OWN,343000.0,Fully Paid,credit_card,12.32,16.0,0.0,86823.0,86.0,33.0,6.0,0.0
16000.0, 36 months,10.99,523.75,B3,10+ years,RENT,101000.0,Fully Paid,credit_card,18.04,11.0,0.0,4190.0,11.4,28.0,4.0,0.0
6000.0, 36 months,12.49,200.7,B5,10+ years,RENT,76000.0,Fully Paid,debt_consolidation,6.9,8.0,0.0,1803.0,38.4,14.0,0.0,0.0
16000.0, 36 months,7.12,494.92,A3,10+ years,MORTGAGE,165000.0,Fully Paid,other,15.39,20.0,0.0,13691.0,64.6,41.0,3.0,0.0
5600.0, 36 months,11.58,184.88,B3,2 years,RENT,38004.0,Fully Paid,credit_card,17.78,12.0,0.0,4440.0,87.1,21.0,,0.0
7500.0, 36 months,9.75,241.13,B3,9 years,RENT,105000.0,Fully Paid,debt_consolidation,15.26,11.0,0.0,10162.0,50.1,13.0,0.0,0.0
14000.0, 36 months,14.16,479.58,C2,10+ years,OWN,140000.0,Fully Paid,debt_consolidation,22.63,29.0,0.0,155911.0,60.8,54.0,3.0,0.0
6000.0, 36 months,10.0,193.61,B2,10+ years,OWN,85224.0,Fully Paid,debt_consolidation,22.43,17.0,0.0,59885.0,60.9,44.0,,0.0
18000.0, 36 months,13.33,609.36,C3,2 years,RENT,71000.0,Fully Paid,credit_card,10.26,10.0,0.0,10747.0,75.7,24.0,2.0,0.0
10000.0, 36 months,11.14,328.06,B2,5 years,MORTGAGE,54900.0,Fully Paid,credit_card,23.83,13.0,0.0,10397.0,48.6,35.0,4.0,0.0
4000.0, 36 months,14.33,137.36,C1,5 years,RENT,20400.0,Fully Paid,debt_consolidation,15.88,7.0,0.0,5738.0,50.3,12.0,0.0,0.0
10000.0, 36 months,8.24,314.48,B1,10+ years,RENT,50000.0,Fully Paid,debt_consolidation,4.77,6.0,0.0,5043.0,43.9,11.0,0.0,0.0
15000.0, 36 months,6.49,459.67,A2,8 years,MORTGAGE,91500.0,Fully Paid,debt_consolidation,6.19,15.0,1.0,5653.0,31.1,35.0,1.0,1.0
25000.0, 60 months,14.07,582.62,C3,5 years,MORTGAGE,135000.0,Fully Paid,house,8.79,11.0,1.0,7041.0,50.3,23.0,2.0,1.0
9000.0, 36 months,7.89,281.58,A5,< 1 year,MORTGAGE,50000.0,Fully Paid,credit_card,26.81,7.0,0.0,14701.0,72.1,9.0,1.0,0.0
12500.0, 60 months,17.57,314.51,D4,10+ years,RENT,25000.0,Fully Paid,other,32.69,13.0,0.0,6829.0,41.1,53.0,0.0,0.0
14300.0, 36 months,7.84,447.06,A4,9 years,MORTGAGE,90000.0,Fully Paid,home_improvement,28.4,13.0,0.0,13803.0,38.4,45.0,3.0,0.0
23000.0, 60 months,15.22,549.83,C3,1 year,RENT,118000.0,Fully Paid,debt_consolidation,8.38,12.0,0.0,21211.0,74.2,46.0,8.0,0.0
8000.0, 36 months,13.59,271.84,C2,10+ years,OWN,48000.0,Fully Paid,credit_card,23.95,11.0,0.0,14728.0,54.3,34.0,2.0,0.0
16500.0, 36 months,9.44,528.09,B1,10+ years,RENT,50000.0,Fully Paid,debt_consolidation,29.07,11.0,1.0,8551.0,22.7,24.0,0.0,1.0
20000.0, 36 months,9.16,637.49,B2,4 years,MORTGAGE,60611.0,Fully Paid,debt_consolidation,6.48,5.0,0.0,12636.0,68.3,10.0,2.0,0.0
9350.0, 36 months,6.97,288.58,A3,,MORTGAGE,80000.0,Fully Paid,debt_consolidation,23.62,26.0,0.0,2693.0,3.7,52.0,2.0,0.0
3000.0, 36 months,16.02,105.51,C5,3 years,RENT,65000.0,Fully Paid,vacation,30.93,7.0,0.0,32504.0,97.6,9.0,0.0,0.0
27000.0, 60 months,17.99,685.48,D2,10+ years,OWN,154000.0,Fully Paid,small_business,17.49,28.0,1.0,12879.0,20.3,46.0,3.0,0.0
12000.0, 36 months,7.9,375.49,A4,9 years,MORTGAGE,80000.0,Fully Paid,credit_card,21.71,12.0,0.0,8915.0,53.4,32.0,2.0,0.0
12000.0, 60 months,14.65,283.28,C5,3 years,OWN,60000.0,Fully Paid,debt_consolidation,20.12,5.0,0.0,9926.0,76.4,36.0,6.0,0.0
8000.0, 36 months,6.97,246.91,A3,10+ years,RENT,34000.0,Fully Paid,debt_consolidation,21.28,16.0,0.0,13694.0,37.9,25.0,0.0,0.0
11975.0, 60 months,17.86,303.18,D5,1 year,MORTGAGE,30000.0,Fully Paid,home_improvement,10.8,3.0,0.0,3368.0,62.4,13.0,0.0,0.0
16800.0, 36 months,13.33,568.74,C3,10+ years,RENT,65000.0,Fully Paid,debt_consolidation,30.37,25.0,0.0,17224.0,45.0,67.0,1.0,0.0
33000.0, 36 months,13.11,1113.65,B4,4 years,RENT,100000.0,Fully Paid,credit_card,22.68,12.0,0.0,34283.0,53.2,28.0,0.0,0.0
21000.0, 36 months,7.26,650.92,A4,< 1 year,MORTGAGE,68000.0,Fully Paid,credit_card,22.43,15.0,0.0,21306.0,21.9,22.0,5.0,0.0
5000.0, 36 months,13.56,169.83,C1,2 years,RENT,59754.0,Fully Paid,debt_consolidation,12.25,7.0,0.0,5049.0,13.9,7.0,0.0,0.0
15000.0, 60 months,17.57,377.41,D4,5 years,MORTGAGE,54000.0,Fully Paid,debt_consolidation,25.07,8.0,0.0,11269.0,75.1,10.0,1.0,0.0
8875.0, 36 months,15.31,309.01,C2,8 years,MORTGAGE,40000.0,Fully Paid,debt_consolidation,29.07,9.0,0.0,4526.0,52.0,18.0,1.0,0.0
10000.0, 36 months,10.99,327.34,B4,6 years,RENT,23000.0,Fully Paid,debt_consolidation,23.28,8.0,0.0,1662.0,8.8,12.0,0.0,0.0
25000.0, 60 months,17.97,634.43,D1,10+ years,MORTGAGE,450000.0,Fully Paid,debt_consolidation,25.26,31.0,0.0,36403.0,61.2,56.0,5.0,0.0
8575.0, 36 months,18.85,313.68,D3,2 years,MORTGAGE,50000.0,Fully Paid,other,5.74,12.0,0.0,4541.0,36.9,28.0,1.0,0.0
2600.0, 36 months,13.11,87.75,B4,< 1 year,MORTGAGE,60000.0,Fully Paid,home_improvement,24.34,13.0,0.0,4886.0,84.2,27.0,1.0,0.0
12000.0, 36 months,14.47,412.88,C2,< 1 year,RENT,40000.0,Fully Paid,debt_consolidation,12.71,13.0,0.0,10270.0,38.2,18.0,0.0,0.0
10000.0, 36 months,14.16,342.56,C2,3 years,RENT,45000.0,Fully Paid,debt_consolidation,22.59,10.0,0.0,7161.0,81.4,11.0,0.0,0.0
10000.0, 60 months,13.99,232.64,C4,3 years,MORTGAGE,38000.0,Fully Paid,debt_consolidation,3.35,8.0,0.0,4650.0,45.6,18.0,1.0,0.0
5000.0, 36 months,9.93,161.18,B2,3 years,RENT,25000.0,Fully Paid,moving,1.2,1.0,0.0,192.0,3.2,4.0,0.0,0.0
35000.0, 60 months,21.18,950.42,E3,3 years,RENT,136717.0,Fully Paid,small_business,8.94,11.0,0.0,6633.0,30.4,37.0,1.0,0.0
25000.0, 36 months,10.78,815.87,B4,10+ years,MORTGAGE,70000.0,Fully Paid,debt_consolidation,26.65,13.0,0.0,23051.0,50.2,19.0,1.0,0.0
8000.0, 36 months,17.57,287.5,D4,< 1 year,RENT,60000.0,Fully Paid,other,12.06,7.0,1.0,8403.0,82.0,44.0,2.0,1.0
25000.0, 36 months,13.33,846.33,C3,< 1 year,MORTGAGE,70000.0,Fully Paid,debt_consolidation,18.31,8.0,1.0,13272.0,54.0,35.0,4.0,1.0
10000.0, 36 months,10.99,327.34,B2,10+ years,MORTGAGE,40000.0,Fully Paid,credit_card,12.27,3.0,0.0,0.0,0.0,12.0,3.0,0.0
21600.0, 36 months,12.98,727.59,B5,10+ years,MORTGAGE,110000.0,Fully Paid,debt_consolidation,22.9,13.0,0.0,18952.0,72.6,34.0,4.0,0.0
12000.0, 60 months,15.61,289.34,C3,10+ years,MORTGAGE,50000.0,Fully Paid,debt_consolidation,13.49,6.0,0.0,5724.0,62.9,12.0,2.0,0.0
5000.0, 36 months,5.32,150.58,A1,5 years,OWN,17000.0,Fully Paid,credit_card,11.58,6.0,0.0,5098.0,13.7,11.0,0.0,0.0
12000.0, 60 months,18.49,307.93,E2,10+ years,MORTGAGE,56000.0,Fully Paid,debt_consolidation,12.64,5.0,0.0,2126.0,101.2,21.0,1.0,0.0
21000.0, 36 months,6.49,643.54,A2,,MORTGAGE,88000.0,Fully Paid,debt_consolidation,13.69,4.0,0.0,11634.0,86.2,10.0,3.0,0.0
20000.0, 60 months,14.64,472.03,C3,10+ years,MORTGAGE,71200.0,Fully Paid,credit_card,25.65,9.0,1.0,44481.0,83.4,17.0,1.0,1.0
